,Bank Rate,,Treasury Bill Rate,,Prime Commercial Bill/Paper Rate,,London Clearing Banks Base Rate,LIBOR,Mortgage Interest Rate,Halifax Building Society - range of mortgage rates ,Effective Mortgage Rate,Rate on variable rate/tracker mortgages,Rate on Corporate Borrowing,Bank Sight deposit rate,1 year ahead expectations made at start of year,annual average of three month rates minus 1 year head expectation at start of year,,Yield on 10 year/medium-term British Government Securities,Yield on perpetual annuities/consols,Yield on Corporate Bonds,Corporate Bond Spreads,Share price indices,,Long-term inflation expectations,,,,Real long-rates,Memo:,Annual Share price components,,,,,,
1950,2,2,0.515,0.5155,0.688,0.688,,,,,4.18,4,3.19,0.5,3.918495298,-1.918495298,-2.339247649,2.622083333,3.545833333,4.071666667,1.071666667,40.52385342,40.52385342,5.627260381,4.339247649,,5.627260381,-3.005177047,,,,,,,,
1951,2.5,2.073972603,0.967,0.59075,1.5,0.927333333,,,,,4.19,4,3.366666667,0.541666667,9.049773756,-6.975801153,-4.186462864,3.240416667,3.7475,4.275,0.634166667,41.50380436,41.50380436,5.50263953,6.260435467,,5.50263953,-2.262222864,,,,,,,,
1952,4,3.713114754,2.418,2.182083333,3,2.75,,,,,4.32,4.416666667,3.933333333,1.791666667,10.65006916,-6.936954402,-5.11055101,3.946666667,4.235,5.135833333,0.878333333,39.40234591,39.40234591,5.287129125,8.823665764,,5.287129125,-1.340462459,,,,,,,,
1953,3.5,3.854794521,2.131,2.288166667,2.168,2.725166667,,,,,4.55,4.5,4.006666667,1.916666667,3.625,0.229794521,-2.962680977,3.504166667,4.0825,4.903333333,0.9625,45.70672126,45.70672126,4.973521117,6.817475498,,4.973521117,-1.46935445,,,,,,,,
1954,3,3.180821918,1.866,1.794166667,1.875,1.830833333,,,,,4.58,4.5,3.81,1.166666667,2.291917973,0.888903944,-1.1826509,3.199583333,3.755833333,4.5725,1.021666667,61.46765962,61.46765962,4.608236163,4.363472818,,4.608236163,-1.40865283,,,,,,,,
1955,4.5,4.316438356,4.073,3.836666667,4.188,3.877833333,,,,,4.66,4.791666667,4.45,2.416666667,5.070754717,-0.754316361,0.368485606,4.144583333,4.175833333,5.005,0.685,62.43756352,62.43756352,4.224259713,3.947952751,,4.224259713,-0.07967638,,,,,,,,
1956,5.5,5.37431694,4.858,5.01175,4.938,5.057583333,,,,,5.32,5.666666667,5.1,3.416666667,5.162738496,0.211578444,0.813337682,5.129166667,4.739166667,5.679166667,0.521666667,56.82020344,56.82020344,3.831394853,4.560979258,,3.831394853,1.297771814,,,,,,,,
1957,7,5.620547945,6.375,4.87475,6.5,5.2215,,,,,5.98,6,5.273333333,3.708333333,3.842049093,1.778498852,1.136550907,5.276666667,5.005,6.124166667,0.634166667,54.9208083,54.9208083,3.447902072,4.483997039,,3.447902072,1.828764595,,,,,,,,
1958,4,5.389041096,3.152,4.4615,3.25,4.573166667,,,,,6.13,6,4.98,3.25,2.877697842,2.511343254,1.765029748,5.44,4.983333333,6.163333333,0.689166667,73.15451666,73.15451666,3.105327911,3.624011348,,3.105327911,2.334672089,,,,,,,,
1959,4,4,3.687,3.392,3.781,3.502666667,,,,,5.98,5.75,4.336666667,2,0,4,4,5.125833333,4.825,5.983333333,0.791666667,104.8987439,104.8987439,2.83913989,1.931419471,,2.83913989,2.286693443,,,,,,,,
1960,5,5.346994536,4.35,4.949416667,4.5,5.088666667,,,,,5.89,5.833333333,5.373333333,3.416666667,1.5,3.846994536,3.846994536,5.815,5.45775,6.295,0.5225,99.95587111,99.95587111,2.68255225,1.152579212,,2.68255225,3.13244775,,,,,,,,
1961,6,5.668493151,5.4,5.2425,5.625,5.411666667,,,,,6.28,6.333333333,5.666666667,3.791666667,2,3.668493151,3.668493151,6.260833333,6.2695,7.069166667,0.785833333,97.42951393,97.42951393,2.646387833,1.983827562,,2.646387833,3.614445501,,,,,,,,
1962,4.5,4.857534247,3.72,4.126666667,3.875,4.307583333,,,,,6.61,6.5,5.14,2.791666667,1.5,3.357534247,3.357534247,5.810416667,5.979083333,7.020833333,1.124166667,94.95,94.95,2.722543958,3.233493885,,2.722543958,3.087872708,,,,,,,,
1963,4,4.002739726,3.72,3.673333333,3.875,3.810083333,,,,,6.27,6.041666667,4.5,2,2,2.002739726,2.002739726,5.082916667,5.588333333,6.08,0.78,107.86,107.86,2.908954068,2.962901843,,2.908954068,2.173962599,,,,,,,,
1964,7,5.057377049,6.63,4.785833333,6.813,4.958583333,,,,,6.16,6,5.56,3.25,2,3.057377049,3.057377049,5.601666667,6.06,6.506666667,0.7075,97.43,97.43,3.218326163,3.085912564,,3.218326163,2.383340504,,,,,,,,
1965,6,6.419178082,5.52,5.904166667,5.875,6.252833333,,,,,6.63,6.6875,6.92,4.416666667,1.585886156,4.833291926,4.833291926,6.55,6.433333333,7.0725,0.645,103.52,103.52,3.655378704,3.518439127,,3.655378704,2.894621296,,,,,,,,
1966,7,6.468493151,6.53,6.139166667,6.875,6.43,,,,,6.95,7,6.97,4.5,1.744325733,4.724167417,4.724167417,6.880833333,6.8175,7.6975,0.79,92.48,92.48,4.224946891,3.922890214,,4.224946891,2.655886442,,,,,,,,
1967,8,6.15890411,7.48,5.87,7.75,6.093833333,,,,,7.2,7.125,6.66,4.208333333,0.526304836,5.632599274,5.632599274,6.7,6.73,7.558333333,0.7575,122.18,122.18,4.937912136,3.173228408,,4.937912136,1.762087864,,,,,,,,
1968,7,7.467213115,6.78,7.0175,7.258,7.370583333,,,,,7.46,7.458333333,7.97,5.416666667,3.751678746,3.715534369,3.715534369,7.509166667,7.459166667,8.24,0.695,168.6,168.6,5.802906383,3.471509525,,5.802906383,1.706260283,,,,,,,,
1969,8,7.843835616,7.65,7.6925,8.75,8.5,,,,,8.08,8.28125,8.47,5.916666667,1.466886221,6.376949396,6.376949396,8.83,8.940833333,10.295,1.25,142.31,142.31,6.801582454,4.247626794,,6.801582454,2.028417546,,,,,,,,
1970,7,7.228767123,6.82,6.9725,8,8.166666667,,8.045,,,8.58,8.5,8.23,5.208333333,3.021843853,4.20692327,4.20692327,8.634166667,9.233333333,10.4925,1.278333333,133.61,133.61,7.897564106,5.618594932,,7.897564106,0.736602561,,,,,,,,
1971,5,5.915068493,4.41,5.5275,4.5,6.276166667,,6.210833333,,,8.59,8.416666667,6.86,3.8125,6.632173493,-0.717105,-0.717105,8.060833333,9.040833333,10.06083333,1.211666667,187.66,187.66,9.038459274,7.7029918,,9.038459274,-0.977625941,,,,,,,,
1972,9,5.880464481,8.31,5.631666667,8.75,6.343833333,5.895833333,6.574166667,,,8.26,8.166666667,6.76,4.09375,4.632530737,1.247933744,1.247933744,8.375,9.198333333,9.715833333,0.813333333,221.39,221.39,10.15810025,7.723778422,,10.15810025,-1.78310025,,,,,,,,
1973,13,9.85890411,12.42,9.525,14,10.71633333,10,11.45583333,,,9.59,9.875,10.89,8.020833333,4.225272345,5.633631764,5.633631764,10.55833333,10.91,11.41083333,0.698333333,144.97,144.97,11.19403473,8.713495822,,11.19403473,-0.6357014,,,,,,,,
1974,11.5,11.94794521,10.99,11.33666667,12.781,13.09141667,12.29166667,13.41333333,,,10.685,11,13.33,9.5,13.8739649,-1.926019694,-1.926019694,14.20666667,15.17333333,16.44333333,1.6775,65.26,65.26,12.05412942,12.10788669,,12.05412942,2.152537244,,,,,,,,
1975,11.25,10.79794521,10.7708,10.16941667,10.63,10.5875,10.37083333,10.63083333,,,11.0725,11,11.47,7.03125,17.29889657,-6.500951366,-6.500951366,13.18166667,14.60083333,15.9425,1.55,154.28,154.28,12.62781067,17.9389699,,12.62781067,0.553856,,,,,,,,
1976,14.25,11.73019126,13.5094,11.2023,13.63,11.37583333,11.26041667,11.49333333,,,11.065,11.0625,12.1,7.541666667,7.677957767,4.052233489,4.052233489,13.61,14.2275,15.15533333,0.725333333,141.53,141.53,12.84126352,17.78510845,,12.84126352,0.768736478,,,,,,,,
1977,7,8.45890411,6.2931,7.489,6.34,7.689166667,8.625,8.161666667,,,11.0525,10.72916667,11.37875,4.791666667,9.432234826,-0.973330717,-0.973330717,12.01916667,12.19166667,13.41275,0.68775,211.56,211.56,12.72139494,16.70855755,,12.72139494,-0.702228271,,,,,,,,
1978,12.5,9.137671233,11.5635,8.602916667,12.22,9.125833333,9.25,9.240341667,,,9.925,9.5625,11.9,6.0625,8.299936317,0.837734916,0.837734916,12.12333333,12.02666667,12.805,0.335833333,224.4,224.4,12.32329923,11.35033207,,12.32329923,-0.199965894,,,,,,,,
1979,17,13.75616438,15.8421,13.10436667,16.75,13.61333333,13.91666667,13.68455833,,,11.3425,12.29166667,16.5325,11.5,8.942978102,4.813186282,4.813186282,12.93,11.34583333,13.23333333,0.245833333,230.77,230.77,11.72425676,10.91639624,,11.72425676,1.205743244,,,,,,,,
1980,14,16.30054645,13.0161,15.0597,14.25,15.97,16.16666667,16.62015,,,14.175,14.91666667,18.415,14.125,12.73012356,3.570422887,3.570422887,13.91416667,11.92916667,14.16,0.375,292.72,292.72,10.9530149,12.48334282,,10.9530149,2.961151771,,,,,,,,
1981,14.375,13.15976027,14.6701,13.04446667,14.84,13.2475,13.25,13.91219167,,,14.2375,13.66666667,15.2675,10.60416667,7.408486134,5.75127414,5.75127414,14.88333333,13.01166667,15.43,0.6875,310.04,310.04,10.03477845,12.72566504,,10.03477845,4.848554882,,,,,,,,
1982,10,11.95445205,9.7204,11.11695,9.94,11.53916667,11.80208333,12.28779167,,,13.4775,12.81330222,14.125,8.875,9.009463027,2.944989027,2.944989027,13.085,11.74083333,13.945,1.065,379.4,379.4,9.036722078,10.62930737,,9.036722078,4.048277922,,,,,,,,
1983,9.0625,9.860616438,8.8391,9.571933333,8.86,9.664166667,9.791666667,10.12780833,,,11.5975,10.71913619,11.4725,6.458333333,7.073722924,2.786893514,2.786893514,11.26833333,10.25083333,12.1375,1.336666667,464.97,464.97,8.043772648,7.26274929,,8.043772648,3.224560685,,,,,,,,
1984,9.5,9.666325137,9.1225,9.297083333,9.14,9.453333333,9.677083333,9.943883333,,,11.7025,11.55632303,11.3925,6.5,6.353591821,3.312733315,3.312733315,11.1275,10.17333333,11.83416667,1.41,577.75,577.75,7.131589811,5.231711455,,7.131589811,3.995910189,,,,,,,,
1985,11.375,12.05890411,11.1662,11.62996667,11.23,11.685,12.33333333,12.243225,,,13.395,13.20910523,14.1575,10.2275,6.438647872,5.620256237,5.620256237,10.97,10.09,11.49666667,0.996666667,674.53,674.53,6.34469549,4.725542616,6.788866703,6.788866703,4.181133297,,,,,,,,
1986,10.875,10.73938356,10.6646,10.300125,10.68,10.45,10.83333333,10.94318333,,,11.855,11.81644261,13.195,8.148333333,4.066611504,6.672772058,6.672772058,10.135,9.463333333,10.81833333,0.9575,817.98,817.98,5.698895713,3.991324225,4.788866703,4.788866703,5.346133297,,,,,,,,
1987,8.375,9.595547945,8.209,9.181075,8.39,9.311666667,9.625,9.697975,,,11.305,11.51147768,11.5475,6.590833333,4.234728957,5.360818989,5.360818989,9.570833333,9.315,10.63916667,1.1675,844.74,844.74,5.19574955,3.584751304,4.588866703,4.588866703,4.98196663,,,,,,,,
1988,12.875,9.951502732,12.5083,9.960858333,12.64,10.055,10.29166667,10.32893333,,,11.0825,11.02182198,11.9675,6.3275,3.872701744,6.078800989,6.078800989,9.675833333,9.123333333,10.77666667,1.415,914.63,914.63,4.813127114,3.506295471,4.088866703,4.088866703,5.58696663,,,,,,,,
1989,14.875,13.67534301,14.479,13.32725833,13.35,13.44083333,13.91666667,13.88575833,,,13.7025,13.74696395,15.7125,10.74,4.857929065,8.817413949,8.817413949,10.19083333,9.260833333,11.32833333,1.748333333,1175.26,1175.26,4.508941025,4.387545287,4.188866703,4.188866703,6.00196663,,,,,,,,
1990,13.875,14.64212329,13.0581,14.044925,13.35,14.13916667,14.75,14.7688,,,15.02,15.17463646,16.655,11.45333333,5.154690712,9.487432575,9.487432575,11.8025,10.87916667,12.85,1.769166667,1040.25,1040.25,4.230572628,5.809458811,4.988866703,4.988866703,6.813633297,,,,,,,,
1991,10.375,11.55582192,10.1879,10.77951667,10.28,10.91416667,11.54166667,11.522075,,,12.55,12.79122402,13.62,8.495,3.579479176,7.976342742,7.976342742,10.105,9.989166667,11.30083333,1.380833333,1156.9,1156.9,3.932713862,6.905648575,4.288866703,4.288866703,5.816133297,,,,,,,,
1992,6.875,9.425546448,6.3574,8.781633333,6.58,8.950833333,9.416666667,9.621566667,,,10.34,10.61101211,11.35,5.86,2.506167171,6.919379277,6.919379277,9.063333333,9.163333333,10.36666667,1.2425,1324.08,1324.08,3.597450937,5.785105621,3.088866703,3.088866703,5.97446663,,,,,,,,
1993,5.375,5.890068493,4.8934,5.150908333,5,5.510833333,5.916666667,5.940383333,,,7.9975,8.062504958,8.329,3.046666667,3.945106685,1.944961808,1.944961808,7.4675,7.6875,8.9225,1.056666667,1628.88,1628.88,3.242842925,4.038244522,4.388866703,4.388866703,3.078633297,,,,,,,,
1994,6.125,5.335958904,5.9162,5.215958333,6.3,5.354166667,5.479166667,5.502516667,,,7.67,7.803851128,7.625,2.9325,3.277055769,2.058903135,2.058903135,8.165833333,8.1775,9.145,1.0975,1502.42,1502.42,2.893574388,2.593504902,2.988866703,2.988866703,5.17696663,,,,,,,,
1995,6.375,6.568150685,6.2159,6.368425,6.28,6.516666667,6.6875,6.680725,,,7.8325,8.246666667,8.34225,3.355,2.521762228,4.046388457,4.046388457,8.241666667,8.243333333,8.793333333,0.538333333,1783.3,1783.3,2.56700146,2.423073177,3.388866703,3.388866703,4.852799963,,,,,,,,
1996,5.9375,5.883709016,6.1647,5.798441667,6.22,5.866666667,5.958333333,6.025158333,,,6.675,7.185,7.82525,2.391666667,2.183293507,3.70041551,3.70041551,7.8225,8.0325,8.616666667,0.515833333,1976.41,1976.41,2.271344531,2.392787894,3.588866703,3.588866703,4.233633297,,,,,,,,
1997,7.25,6.545034247,7.1058,6.515633333,7.31,6.686666667,6.583333333,6.8284,,,7.18,7.479166667,8.1735,3.059166667,1.492228018,5.052806229,5.052806229,7.05,7.125833333,7.71464816,0.533887534,2388.17,2388.17,2.015753975,2.163686083,3.088866703,3.088866703,3.961133297,,,,,,,,
1998,6.25,7.228082192,5.5552,6.803408333,5.88,7.0625,7.208333333,7.336241667,,,7.7075,8.291666667,8.924275911,3.769166667,1.664132265,5.563949927,5.563949927,5.521666667,5.532583333,6.694651013,0.869011622,2595.88,2595.88,1.810666723,1.806142326,1.588866703,1.588866703,3.932799963,,,,,,,,
1999,5.5,5.345205479,5.6154,5.072208333,5.69,5.213333333,5.333333333,5.448833333,,,6.820833333,6.383191667,7.270833333,2.4575,1.41896287,3.92624261,3.92624261,5.081666667,4.846083333,6.345869408,1.161065547,3146.68,3146.68,1.664562163,1.496495663,1.488866703,1.488866703,3.592799963,,,,,,,,
2000,6,5.964480874,5.6113,5.804166667,5.79,5.960833333,5.979166667,6.106416667,,,7.0925,6.950641667,7.689166667,2.9275,1.450164708,4.514316167,4.514316167,5.310833333,4.912916667,6.905472034,1.515148613,2989.69,2989.69,1.583413019,1.108320792,1.988866703,1.988866703,3.32196663,,,,,,,,
2001,4,5.117808219,3.8333,4.731883333,3.92,4.805833333,5.083333333,4.971741667,,,6.436666667,6.065166667,6.928333333,2.548333333,1.080452685,4.037355534,4.037355534,4.935833333,5.054333333,6.509603865,1.550711023,2507.59,2507.59,1.569846392,1.121434977,1.488866703,1.488866703,3.44696663,,,,,,,,
2002,4,4,3.8427,3.8575,3.9,3.926666667,4,3.993358333,,,5.39,5.049633333,5.870833333,1.7875,1.353974225,2.646025775,2.646025775,4.905,5.04675,6.335908377,1.491908511,1900.53,1900.53,1.618655252,1.158801357,1.288866703,1.288866703,3.616133297,,,,,,,,
2003,3.75,3.693150685,3.739,3.561775,3.93,3.635,3.6875,3.665491667,,,4.96,4.850766667,5.589166667,1.741666667,1.477712487,2.215438198,2.215438198,4.521622479,4.884833333,5.629451189,1.17075916,2168.867574,2168.867574,1.721234106,1.305172618,1.288866703,1.288866703,3.232755776,,,,,,,,
2004,4.75,4.381830601,4.691,4.462625,4.76,4.558333333,4.395833333,4.570316667,,,5.280833333,5.279066667,6.018333333,2.620833333,2.347239688,2.034590913,2.034590913,4.835279658,4.773583333,5.786202083,0.927953134,2372.413597,2372.413597,1.865390909,1.332021911,1.688866703,1.688866703,3.146412955,,,,,,,,
2005,4.5,4.647260274,4.4271,4.5394,4.6,4.673333333,4.645833333,4.696733333,,,5.465,5.303616667,6.151666667,2.980833333,2.144732441,2.502527833,2.502527833,4.369764271,4.43875,5.33977486,0.892431834,2805.810254,2805.810254,2.035321275,1.703847327,1.688866703,1.688866703,2.680897568,,,,,,,,
2006,5,4.639726027,5.108,4.669808333,5.27,4.836666667,4.645833333,4.7982,,,5.354166667,5.319741667,6.215833333,2.770833333,2.3,2.339726027,2.339726027,4.430626508,4.241083333,5.42466549,0.879124529,3189.64431,3189.64431,2.209966906,2.05014397,1.788866703,1.788866703,2.641759805,,,,,,,,
2007,5.5,5.510273973,5.2388,5.522416667,5.99,5.985,5.520833333,5.955666667,,,5.79,6.098775,6.988333333,3.291666667,2.4,3.110273973,3.110273973,4.916544991,4.632083333,6.070957988,1.002559555,3267.132322,3267.132322,2.368516295,2.271423304,1.988866703,1.988866703,2.927678287,,,,,,,,
2008,2,4.671448087,1.242,4.232891667,2.9,5.440833333,4.625,5.489925,,,5.700833333,6.088325,6.690833333,2.939166667,2.8,1.871448087,1.871448087,4.578849764,4.591416667,6.987748157,2.447612484,2128.799894,2128.799894,2.491358265,2.963552747,2.188866703,2.188866703,2.389983061,,,,,,,,
2009,0.5,0.643835616,0.4911,0.530233333,0.53,1.109166667,0.625,1.198841667,,,3.708333333,3.968908333,3.060833333,0.795,1.7,-1.056164384,-1.056164384,3.744213078,4.545,6.131810732,2.757590815,2708.093154,2708.093154,2.558396474,2.62780321,1.888866703,1.888866703,1.855346375,,,,,,,,
2010,0.5,0.5,0.5007,0.497741667,0.74,0.669583333,0.5,0.689958333,,,3.600833333,3.638416667,2.86,0.8125,2.2,-1.7,-1.7,3.746896196,4.638583333,4.763263144,1.523965666,3039.818419,3039.818419,2.560620999,3.01906503,2.088866703,2.088866703,1.658029493,,,,,,,,
2011,0.5,0.5,0.2407,0.480466667,1.02,0.869166667,0.5,0.887625,,,3.433333333,3.31715,2.978333333,0.9475,3,-2.5,-2.5,3.229658211,4.361603444,4.550486684,1.784373188,2814.190267,2814.190267,2.485137953,3.65436221,2.088866703,2.088866703,1.140791507,,,,,,,,
2012,0.5,0.5,0.309,0.319975,0.52,0.765833333,0.5,0.838708333,,,3.375,3.609433333,3.185,1.039166667,2.5,-2,-2,1.959910858,3.770413501,3.771697268,2.005869228,3099.078383,3099.078383,2.326447237,3.412863353,2.088866703,2.088866703,-0.128955845,,,,,,,,
2013,0.5,0.5,0.257,0.313,0.4885,0.46435,0.5,0.493033333,,,3.326666667,3.349508333,3.111666667,0.924166667,2.6,-2.1,-2.1,2.46380727,4.221772015,3.571022257,1.424341466,3514.579829,3514.579829,2.098797375,3.023610699,2.088866703,2.088866703,0.374940567,,,,,,,,
2014,0.5,0.5,0.3884,0.390158333,0.485,0.494116667,0.5,0.539116667,,,3.220833333,2.878375,3.133333333,0.765833333,2.2,-1.7,-1.7,2.615497316,4.066958145,3.555135728,1.196037016,3511.379133,3511.379133,1.821472416,2.065603771,1.888866703,1.888866703,0.726630613,,,,,,,,
2015,0.5,0.5,0.4511,0.450041667,0.525,0.507541667,0.5,0.552541667,,,3.081666667,2.597775,3.135833333,0.765833333,1.6,-1.1,-1.1,1.896425256,2.691225074,3.093538647,1.338061908,3401.179443,3401.179443,1.518368437,0.971318873,1.688866703,1.688866703,0.207558553,,,,,,,,
2016,0.25,0.397540984,0.0106,0.309675,0.3325,0.446116667,,0.491116667,,,2.84,2.328875,3.070833333,0.639166667,1.6,-1.202459016,-1.202459016,1.30305415,1.987649053,2.645,1.4275,3779.29673,3779.29673,1.20976679,0.634069152,1.588866703,1.588866703,-0.285812554,,,,,,,,